dealer_busts,player_busts,player_loses,draw,player_wins
16,41,53,2,45
11,48,57,8,35
9,56,61,2,37
15,46,53,5,42
10,41,55,8,37
13,46,57,6,37
11,45,58,4,38
12,42,54,8,38
8,43,55,7,38
14,46,52,6,42
8,39,55,8,37
17,49,57,5,38
15,52,61,4,35
14,47,58,4,38
13,45,52,10,38
13,45,58,7,35
10,49,57,3,40
14,57,65,11,24
14,38,49,7,44
12,45,60,6,34
11,46,55,9,36
9,50,62,3,35
17,45,57,0,43
12,50,62,9,29
14,48,60,5,35
10,48,64,5,31
9,46,58,9,33
9,46,61,8,31
13,44,50,12,38
12,47,57,11,32
13,44,58,8,34
9,51,58,7,35
11,45,54,9,37
11,44,59,9,32
16,44,55,8,37
9,50,57,9,34
9,54,62,6,32
10,53,62,5,33
11,59,67,7,26
16,42,52,10,38
12,45,56,5,39
7,48,65,4,31
17,43,52,6,42
14,41,51,7,42
13,51,61,9,30
14,46,57,7,36
18,48,56,7,37
12,48,56,5,39
13,58,62,5,33
8,47,58,8,34
14,50,61,8,31
18,49,61,5,34
11,47,59,5,36
17,48,54,6,40
15,41,51,10,39
12,41,52,7,41
12,46,55,6,39
4,55,64,4,32
14,53,64,4,32
18,38,45,13,42
8,51,60,10,30
7,42,54,9,37
14,49,57,9,34
16,48,54,7,39
15,47,53,10,37
12,47,62,9,29
13,42,57,5,38
12,43,52,6,42
13,52,58,12,30
14,45,58,5,37
14,43,56,4,40
14,55,57,7,36
13,42,53,9,38
16,42,47,11,42
6,41,58,6,36
19,49,57,5,38
10,38,53,8,39
22,32,37,8,55
10,51,62,5,33
13,45,57,7,36
13,57,67,2,31
10,53,63,4,33
19,42,52,9,39
19,43,51,6,43
14,41,49,9,42
9,44,54,9,37
8,43,57,9,34
7,52,66,6,28
14,51,61,2,37
20,41,55,8,37
18,46,56,4,40
9,58,69,3,28
10,44,54,4,42
25,37,42,9,49
11,53,68,4,28
13,57,67,2,31
22,48,53,6,41
11,45,55,7,38
11,49,58,7,35
17,46,55,4,41
13,49,59,8,33
11,49,59,7,34
15,41,46,10,44
15,50,56,7,37
15,49,59,3,38
9,46,59,8,33
11,47,59,8,33
23,50,56,7,37
10,47,57,6,37
9,50,59,6,35
14,38,49,4,47
17,39,52,7,41
9,54,61,11,28
13,54,59,8,33
21,45,54,2,44
14,45,58,3,39
